id,ibge_id,nome,estado_id,meso_id
1,6,Cacoal,11,1
2,3,Ariquemes,11,1
3,5,Alvorada D'Oeste,11,1
5,8,Colorado do Oeste,11,1
6,7,Vilhena,11,1
8,4,Ji-Paraná,11,1
4,1,Porto Velho,11,2
7,2,Guajará-Mirim,11,2
9,4,Rio Branco,12,3
10,5,Brasiléia,12,3
13,3,Sena Madureira,12,3
11,1,Cruzeiro do Sul,12,4
12,2,Tarauacá,12,4
14,5,Tefé,13,5
16,6,Coari,13,5
18,7,Manaus,13,5
20,10,Parintins,13,5
24,9,Itacoatiara,13,5
26,8,Rio Preto da Eva,13,5
15,3,Alto Solimões,13,6
23,4,Juruá,13,6
17,13,Madeira,13,7
21,11,Boca do Acre,13,7
22,12,Purus,13,7
19,1,Rio Negro,13,8
25,2,Japurá,13,8
27,1,Boa Vista,14,9
28,2,Nordeste de Roraima,14,9
29,3,Caracaraí,14,10
30,4,Sudeste de Roraima,14,10
31,11,Cametá,15,11
33,12,Tomé-Açu,15,11
40,10,Bragantina,15,11
41,13,Guamá,15,11
49,9,Salgado,15,11
32,17,Paragominas,15,12
35,19,Parauapebas,15,12
44,18,São Félix do Xingu,15,12
45,20,Marabá,15,12
46,16,Tucuruí,15,12
50,22,Conceição do Araguaia,15,12
52,21,Redenção,15,12
34,5,Furos de Breves,15,13
43,4,Portel,15,13
48,6,Arari,15,13
36,2,Santarém,15,14
37,3,Almeirim,15,14
51,1,Óbidos,15,14
38,15,Altamira,15,15
42,14,Itaituba,15,15
39,7,Belém,15,16
47,8,Castanhal,15,16
53,2,Amapá,16,17
54,1,Oiapoque,16,17
55,3,Macapá,16,18
56,4,Mazagão,16,18
57,3,Miracema do Tocantins,17,19
58,1,Bico do Papagaio,17,19
59,5,Gurupi,17,19
62,2,Araguaína,17,19
63,4,Rio Formoso,17,19
60,8,Dianópolis,17,20
61,6,Porto Nacional,17,20
64,7,Jalapão,17,20
65,9,Imperatriz,21,21
69,8,Pindaré,21,21
72,7,Gurupi,21,21
66,16,Coelho Neto,21,22
67,13,Baixo Parnaíba Maranhense,21,22
70,15,Codó,21,22
74,14,Chapadinha,21,22
78,18,Chapadas do Alto Itapecuru,21,22
81,17,Caxias,21,22
68,1,Litoral Ocidental Maranhense,21,23
73,5,Baixada Maranhense,21,23
76,3,Rosário,21,23
79,4,Lençóis Maranhenses,21,23
83,6,Itapecuru Mirim,21,23
85,2,Aglomeração Urbana de São Luís,21,23
71,20,Gerais de Balsas,21,24
80,21,Chapadas das Mangabeiras,21,24
82,19,Porto Franco,21,24
75,11,Alto Mearim e Grajaú,21,25
77,10,Médio Mearim,21,25
84,12,Presidente Dutra,21,25
